$0;1693267379771780700;1.15-SNAPSHOT;KIEKER;fa370bf86134;1;false;0;NANOSECONDS;0
$1;1693267418504274300;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418502143900;1693267418504270100;fa370bf86134;87;3
$1;1693267418504356700;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;3515481721627738117;1693267418504309700;1693267418504352600;fa370bf86134;93;5
$1;1693267418504374200;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738117;1693267418504299700;1693267418504371300;fa370bf86134;92;4
$1;1693267418506306400;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418505465800;1693267418506301500;fa370bf86134;94;4
$1;1693267418506336800;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418504282700;1693267418506332700;fa370bf86134;91;3
$1;1693267418506468000;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;3515481721627738117;1693267418506371900;1693267418506463600;fa370bf86134;97;5
$1;1693267418506488300;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738117;1693267418506361600;1693267418506485100;fa370bf86134;96;4
$1;1693267418508483800;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418507585900;1693267418508473800;fa370bf86134;98;4
$1;1693267418508512900;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418506345300;1693267418508508500;fa370bf86134;95;3
$1;1693267418508602700;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;3515481721627738117;1693267418508553000;1693267418508598500;fa370bf86134;101;5
$1;1693267418508621200;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738117;1693267418508540400;1693267418508618200;fa370bf86134;100;4
$1;1693267418510662500;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418509781500;1693267418510649100;fa370bf86134;102;4
$1;1693267418510695800;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418508522300;1693267418510691800;fa370bf86134;99;3
